uid,lpips_diff
wy5bMyDO,0.5000414848327637
Qwx2aYYX,0.31828486919403076
wmh7KOxT,0.2105177640914917
1Gr0ZZ6O,0.3866664171218872
tj2B1mle,0.5552811622619629
MVUhzPUs,0.4082513451576233
kdKoe32w,0.414692223072052
4iPDKtPk,0.27376484870910645
TfO2-UL7,0.3575819730758667
HFPzPIhm,0.3652070164680481
84kxi_zm,0.46997785568237305
ADxPkvmp,0.3082524538040161
srhqhKph,0.3479241132736206
v3lMYks5,0.3197050392627716
Vx6vjhEi,0.5405458807945251
CrbPBCSY,0.4170854091644287
H6Wn6SRL,0.3646809160709381
00zAmRkH,0.19111791253089905
511UFMX5,0.5650368332862854
7KC1zagf,0.6571763157844543
HxJ3q6sK,0.5040945410728455
CUAUyXDs,0.32851335406303406
TgkK1kch,0.4585459530353546
bnr51Yb4,0.4234715700149536
j_BF3z6G,0.5715302228927612
6oLsc1dw,0.47549042105674744
uX6SMNS0,0.5973069667816162
qiEUnPiS,0.4100947678089142
Tbi55eIB,0.6137292385101318
grjLxGFM,0.6888356804847717
i_-68haY,0.6514370441436768
Zr8U2Lkv,0.2682534158229828
z7ykMQNb,0.3431384563446045
xoW-srpG,0.2670441269874573
sR5rV1X5,0.6063055992126465
cey4Qypk,0.5427485108375549
HJmeZTAv,0.35961228609085083
X-9Z1RHt,0.5492112636566162
pVoC0pW9,0.3260173797607422
BR2cmQdt,0.486935555934906
mxIwDDaA,0.36405786871910095
cDWIel-E,0.4741635322570801
NSL9f4Wz,0.36374637484550476
nRwdPKGx,0.370408296585083
6uHK9Ix4,0.38236290216445923
NcWxx85n,0.4735988974571228
Y8cEe76u,0.36233726143836975
ibhu9Chz,0.4791153073310852
Zu1twJoK,0.3360878825187683
Z1VzLkkq,0.2474743276834488
u-ju-yW-,0.4723395109176636
zLu8GDZY,0.40499210357666016
zBl5yIfJ,0.5286779403686523
pV8QQhT6,0.5859658718109131
u8Sp_6QD,0.5416175127029419
mM8SR-MD,0.53764808177948
__Tm2-rC,0.4721495807170868
tZNz451L,0.1897507905960083
R53jWrc1,0.19321805238723755
qBG8aNi2,0.5076020956039429
F1yBpv2V,0.48745742440223694
agPxuLJq,0.357185423374176
unHGvRFj,0.571877658367157
muCc6GnC,0.37886446714401245
XuW_yyso,0.40415602922439575
9h6nCA43,0.5005480051040649
M1IbO1jn,0.2659466564655304
qCXBYIm-,0.38846197724342346
f-g-s5jh,0.5730173587799072
CdCyVSh9,0.3923763632774353
p2hzJBno,0.33497941493988037
cjPXwETO,0.4541720747947693
tzzjgdsT,0.5029696226119995
5XUT3_pp,0.5959408283233643
jPpkOfRT,0.37967976927757263
6mTIav00,0.3621045649051666
cmqpg7Y2,0.4526582658290863
cIhqtTb_,0.3327212631702423
SqfmOseh,0.2605883479118347
pf-BRzwe,0.40090176463127136
bx8yigX-,0.4677344560623169
ZnwBkLnx,0.2618881165981293
ndlUgtpt,0.48026353120803833
bw4cOGuo,0.18421508371829987
bBrqfRH1,0.3187786638736725
0yR9vUzO,0.6641222238540649
kknX9pBZ,0.5447062849998474
QMliJ7Tw,0.5411385297775269
PSaDd-Uf,0.5221771001815796
b-AMrv0k,0.5739318132400513
5d2Opx5J,0.2734353542327881
2BXf0vWz,0.41433215141296387
UH7HVaXk,0.4414830207824707
Mk02fLJ5,0.5076242089271545
hKLZT7Ap,0.49433088302612305
kS-oJxyh,0.4497533440589905
rhlbnIAK,0.5421010851860046
ae67En2I,0.35594820976257324
QfridxTA,0.4783664643764496
naXItTDD,0.5184937715530396
CDGt7toJ,0.4455385208129883
LmuP4dKS,0.25796931982040405
pLl9qRc1,0.22829362750053406
ji5yokpe,0.40490254759788513
jcZtOU0f,0.5825018882751465
vqZnnd05,0.33700600266456604
IqoxY91e,0.5315878987312317
ddfRtxQ7,0.5679112672805786
dI5QpMhy,0.3005794882774353
0V4tXKl6,0.3915191888809204
GM1UXxT2,0.30074310302734375
EBRPAeWk,0.5488842129707336
B5dP3ipk,0.5006199479103088
_ZttKCkC,0.4706946611404419
6bfyWfYM,0.2904142141342163
UAfsDPRp,0.5647520422935486
e38Pyf7u,0.5071415901184082
0BKu4YEx,0.41799336671829224
jmfRfLOE,0.3499458134174347
rBVZCC04,0.5270281434059143
ye4qpmqw,0.6075000166893005
COc5jeT4,0.512715220451355
5XW0s_cO,0.585820198059082
zrcyicOw,0.46663928031921387
arXs0a99,0.5855564475059509
JpLgm_Hk,0.4285353720188141
icuYWpPu,0.5365755558013916
8BWPr0Qq,0.6133356094360352
66WU1K5c,0.6338720321655273
tZibX4fY,0.4200759530067444
kvy0O2OQ,0.428792804479599
n9YRkow8,0.7155698537826538
V2pre35c,0.3327605128288269
94vfVSbv,0.3712414503097534
bC73D_4G,0.50630784034729
dJKx9jaB,0.47864022850990295
